,Sr.No,Received Date (DD MMM YYYY),Article title,Citation Details,Reference ID,DOI,Initial Reviewer Name,Initial Review Date,Abstract/Full Text Article (FTA),Article Classification,Initial Review Comment,Quality Reviewer Name,Quality Review Date,Quality Review Comment,Full Text Request Raised (Order ID),Translation Request Raised (Order ID),Article Priority,Country Of Incidence,Valid Drugs,Invalid Drugs,Suspected Events,No. of cases to be created,Allocation Sent,Case ID,Reference number for Aggregate report as applicable,Reference number for Signal report as applicable,Additional Comments (if any)
5270,,,"Glutamine metabolism, sensing, and signaling in plants",Plant Cell Physiol. 2023 May 27:pcad054. doi: 10.1093/pcp/pcad054. Online ahead of print.,37243703,10.1093/pcp/pcad054,,,Abstract,Rejected,No safety information_Plant study,,,No error ,,,,Taiwan,,,,,,,,,
5271,,,The Molecular Mechanism of Polyphenols in the Regulation of Ageing Hallmarks,Int J Mol Sci. 2023 Mar 14;24(6):5508. doi: 10.3390/ijms24065508.,36982583,10.3390/ijms24065508,,,Full text,Rejected,Review_No safety information,,,No error,,,,Brazil,,,,,,,,,
5272,,,Acetaminophen causes neurodevelopmental injury in susceptible babies and children: no valid rationale for controversy,Clin Exp Pediatr. 2023 Jun 14. doi: 10.3345/cep.2022.01319. Online ahead of print.,37321575,10.3345/cep.2022.01319,,,Full text,Invalid,No MA in COI_Acetaminophen_neurodevelopmental injury,,,No error ,,,,United states,,Acetaminophen,neurodevelopmental injury,,,,,,
5273,,,High-dose vitamin C-induced acute oxalate nephropathy in a renal transplant recipient: A case report and literature review,Asian J Surg. 2023 May;46(5):2223-2224. doi: 10.1016/j.asjsur.2022.11.112. Epub 2022 Dec 5.,36473810,10.1016/j.asjsur.2022.11.112,,,Abstract,Invalid,Review article_Ascorbic acid(vitamin C)_Ascorbic acid(vitamin C)-induced acute oxalate nephropathy,,,No error,,,,Taiwan,,Ascorbic acid(vitamin C),Ascorbic acid(vitamin C)-induced acute oxalate nephropathy,,,,,,
5274,,,Use of non-steroidal anti-inflammatory drugs in renal transplant patients: A retrospective study,Int J Risk Saf Med. 2023 Mar 27. doi: 10.3233/JRS-220065. Online ahead of print.,37154186,10.3233/JRS-220065,,,Abstract,Invalid,"No MA in COI_ibuprofen,diclofenac,indomethacin,naproxen_ acute kidney injury",,,No error,,,,Bahrain,,"ibuprofen,diclofenac,indomethacin,naproxen",acute kidney injury,,,,,,
5275,,,Medical Management of Dental Abnormalities Related to Congenital Hypothyroidism in a Cat,J Vet Dent. 2023 Mar 14:8987564231161362. doi: 10.1177/08987564231161362. Online ahead of print.,36916150,10.1177/08987564231161362,,,Abstract,Rejected,Animal study_No safety Information,,,No Error,,,,United States,,,,,,,,,
5276,,,Separation and identification of terpene-conjugated curcuminoids based on liquid chromatography-tandem mass spectrometry and their in vitro anti-inflammatory activities,J Sep Sci. 2023 May;46(10):e2200789. doi: 10.1002/jssc.202200789. Epub 2023 Mar 17.,36892097,10.1002/jssc.202200789,,,Abstract,Rejected,No safety information_Invitro study,,,No error,,,,China,,,,,,,,,
5277,,,Association between methotrexate-induced Stevens-Johnson syndrome/toxic epidermal necrolysis and furosemide: a real-world disproportionality analysis,Expert Opin Drug Saf. 2023 Apr 17:1-8. doi: 10.1080/14740338.2023.2203482. Online ahead of print.,37070136,10.1080/14740338.2023.2203482,,,Abstract ,Invalid,"No MA in COI_Furosemide_Stevens-Johnson syndrome,toxic epidermal necrolysis",,,No error,,,,China,,Furosemide,"Stevens-Johnson syndrome,toxic epidermal necrolysis",,,,,,
5278,,,"Minocycline vs. tetracycline in bismuth-containing quadruple therapy for Helicobacter pylori rescue treatment: a multicentre, randomized controlled trial",J Gastroenterol. 2023 Jul;58(7):633-641. doi: 10.1007/s00535-023-01991-y. Epub 2023 Apr 12.,37042991,10.1007/s00535-023-01991-y,,,Abstract,Invalid,"No MA in COI_Minocycline,tetracycline,Metronidazole_resistance,Minocycline_Dizziness",,,No error ,,,,China,,"Minocycline,tetracycline,Metronidazole","Resistance,dizziness",,,,,,
5279,,,The effects of curcumin and sertraline on stress-induced changes in the stomach tissues of rats,Naunyn Schmiedebergs Arch Pharmacol. 2023 Mar 14. doi: 10.1007/s00210-023-02453-1. Online ahead of print.,36917242,10.1007/s00210-023-02453-1,,,Abstract,Rejected,Animal study_No safety information,,,No Error,,,,Iran,,,,,,,,,
5280,,,"Red blood cell transfusion-related eicosanoid profiles in intensive care patients-A prospective, observational feasibility study",Front Physiol. 2023 Mar 16;14:1164926. doi: 10.3389/fphys.2023.1164926. eCollection 2023.,37008004,10.3389/fphys.2023.1164926,,,Abstract,Rejected,No safety information_In vitro study,,,No Error,,,,Austria,,,,,,,,,
5281,,,Effect of dissolved organic matter on selective oxidation of toluene by ozone micro-nano bubble water,Chemosphere. 2023 Jun;325:138400. doi: 10.1016/j.chemosphere.2023.138400. Epub 2023 Mar 14.,36925009,10.1016/j.chemosphere.2023.138400,,,Abstract,Rejected,No safety information_Environmental study,,,No error,,,,China,,,,,,,,,
5282,,,"Effectiveness of SGA-LAIs on Clinical, Cognitive, and Social Domains in Schizophrenia: Results from a Prospective Naturalistic Study",Brain Sci. 2023 Mar 29;13(4):577. doi: 10.3390/brainsci13040577.,37190542,10.3390/brainsci13040577,,,Full Text,Invalid,No MA in COI_Aripiprazole_ Non-adherence,,,No error,,,,Italy,,Aripiprazole,Non-adherence,,,,,,
5283,,,"Topical brimonidine for the management of facial erythema in rosacea: a histological, histometric, and immunohistochemical study",Int J Dermatol. 2023 May 22. doi: 10.1111/ijd.16717. Online ahead of print.,37212604,10.1111/ijd.16717,,,Abstract ,Rejected,No safety information,,,No error ,,,,Egypt,,,,,,,,,
5284,,,The inadvertent consequences of drug recalls: A case study of a recall of pantoprazole generics from the markets,Saudi Pharm J. 2023 Jul;31(7):1181-1185. doi: 10.1016/j.jsps.2023.04.011. Epub 2023 Apr 15.,37273266,10.1016/j.jsps.2023.04.011,,,Full Text,Invalid,"No MA in COI_warfarin, clopidogrel, escitalopram_Drug interaction",,,No Error,,,,Saudi Arabia,,"Warfarin, Clopidogrel, Escitalopram",Drug interaction,,,,,,
5285,,,Epidemiology of resistant gram-negative bacteria in nursing homes,Infect Control Hosp Epidemiol. 2023 Mar 14:1-6. doi: 10.1017/ice.2022.225. Online ahead of print.,36916011,10.1017/ice.2022.225,,,Abstract,Rejected,No safety information_Invitro study,,,No Error,,,,United states,,,,,,,,,
5286,,,"A biochemical and morphological study with multiple linear regression modeling-based impact prediction of ambient air pollutants on some native tree species of Haldwani City of Kumaun Himalaya, Uttarakhand, India",Environ Sci Pollut Res Int. 2023 May 20:1-16. doi: 10.1007/s11356-023-27563-4. Online ahead of print.,37208511,10.1007/s11356-023-27563-4,,,Full Text,Rejected,No safety information,,,No error ,,,,India,,,,,,,,,
5287,,,Gut microbiota alterations are associated with phenotype and genotype in familial Mediterranean fever,Rheumatology (Oxford). 2023 Jul 4:kead322. doi: 10.1093/rheumatology/kead322. Online ahead of print.,37402619,10.1093/rheumatology/kead322,,,Abstract,Invalid,No MA in COI_Colchicine_Drug resistance,,,No error,,,,France,,Colchicine,drug resistance,,,,,,
5288,,,Feasibility study of using mobile phone-based experience sampling to assess drug checking by opioid street drug users,Pilot Feasibility Stud. 2023 May 26;9(1):91. doi: 10.1186/s40814-023-01321-2.,37237323,10.1186/s40814-023-01321-2,,,Full Text,Invalid,No MA in COI_Fentanyl_Overdose ,,,No error ,,,,United states,,Fentanyl,Overdose ,,,,,,
5289,,,"Antenatal Steroids, Prophylactic Indomethacin, and the Risk of Spontaneous Intestinal Perforation",J Pediatr. 2023 May 11;259:113457. doi: 10.1016/j.jpeds.2023.113457. Online ahead of print.,37172814,10.1016/j.jpeds.2023.113457,,,Abstract,Invalid,No MA in COI_Indomethacin_Increased spontaneous intestinal perforation,,,No error,,,,United States,,Indomethacin,Increased spontaneous intestinal perforation,,,,,,
5290,,,Impact of whole millet extruded flour on the physicochemical properties and antihyperglycemic activity of gluten free pasta,J Food Sci Technol. 2023 Jun;60(6):1738-1748. doi: 10.1007/s13197-023-05714-2. Epub 2023 Mar 18.,37187989,10.1007/s13197-023-05714-2,,,Abstract,Rejected,No safety information,,,No Error,,,,Brazil,,,,,,,,,
5291,,,Off-Label Use of Ciprofloxacin/Dexamethasone Drops in the Pediatric Upper Airway: Case Presentation and Review of Adverse Effects,Ann Otol Rhinol Laryngol. 2023 May;132(5):589-595. doi: 10.1177/00034894221104461. Epub 2022 Jun 15.,35703381,10.1177/00034894221104461,,,Abstract,Invalid,No MA in COI_Ciprofloxacin_Off label use,,,No error,,,,United states,,Ciprofloxacin,Off label use,,,,,,
5292,,,Risk of Stevens-Johnson syndrome and toxic epidermal necrolysis associated with antibiotic use: a case-crossover study,J Allergy Clin Immunol Pract. 2023 Jul 15:S2213-2198(23)00783-3. doi: 10.1016/j.jaip.2023.07.012. Online ahead of print.,37459954,10.1016/j.jaip.2023.07.012,,,Abstract,Invalid,No MA in COI_trimethoprim-sulfamethoxazole_incidence of Stevens-Johnson syndrome and toxic epidermal necrolysis ,,,No error,,,,Japan,,Trimethoprim-sulfamethoxazole,Incidence of Stevens-Johnson syndrome and toxic epidermal necrolysis ,,,,,,
5293,,,Comment to: Propofol and survival: an updated meta-analysis of randomized clinical trials,Crit Care. 2023 May 24;27(1):198. doi: 10.1186/s13054-023-04489-4.,37226253,10.1186/s13054-023-04489-4,,,Full text,Rejected,No safety information,,,No error ,,,,United States,,,,,,,,,
5294,,,Construction of a Novel Cascade Electrolysis-Heterocatalysis System by Using Zeolite-Encaged Ultrasmall Palladium Catalysts for H(2) O(2) Generation,Small. 2023 Mar 15:e2300114. doi: 10.1002/smll.202300114. Online ahead of print.,36919559,10.1002/smll.202300114,,,Abstract,Rejected,Invitro study_No safety Information,,,No Error,,,,China,,,,,,,,,
5295,,,Changes in nutrient consumption patterns of Lactobacillus fermentum mediated by sodium lactate,J Sci Food Agric. 2023 Mar 15;103(4):1775-1783. doi: 10.1002/jsfa.12295. Epub 2022 Nov 4.,36305089,10.1002/jsfa.12295,,,Abstract,Rejected,No safety information_Invitro study,,,No Error,,,,China,,,,,,,,,
5296,,,"Bismuth, esomeprazole, metronidazole, and minocycline or tetracycline as a first-line regimen for Helicobacter pylori eradication: A randomized controlled trial",Chin Med J (Engl). 2023 Apr 20;136(8):933-940. doi: 10.1097/CM9.0000000000002629. Epub 2023 Apr 3.,37010246,10.1097/CM9.0000000000002629,,,Full Text,Invalid,"No patient-product-event correlation_nausea, diarrhoea (refer table 3 for safety)",,,No error,,,,China,,"minocycline, metronidazole, esomeprazole, tetracycline","Nausea, diarrhea (refer table 3 for safety)",,,,,,
5297,,,"Treatment, not delivery, of the late preterm and term fetus with supraventricular arrhythmia",Ultrasound Obstet Gynecol. 2023 May 1. doi: 10.1002/uog.26239. Online ahead of print.,37128167,10.1002/uog.26239,,,Abstract,Invalid,No MA in COI_Sotalol_DEDP,,,No error,,,,United states,,Sotalol,DEDP,,,,,,
5298,,,The use of botulinum toxin and intrathecal baclofen in hip dysplasia in cerebral palsy,Dev Med Child Neurol. 2023 May 20. doi: 10.1111/dmcn.15642. Online ahead of print.,37208907,10.1111/dmcn.15642,,,Abstract,Rejected,No safety information ,,,No error ,,,,United States,,,,,,,,,
5299,,,"Chronic endometritis: screening, treatment, and pregnancy outcomes in an academic fertility center",J Assist Reprod Genet. 2023 Aug 10. doi: 10.1007/s10815-023-02902-z. Online ahead of print.,37558906,10.1007/s10815-023-02902-z,,,Abstract,Invalid,No MA in COI_Doxycycline_DEDP,,,No error,,,,United states,,Doxycycline,DEDP,,,,,,
5300,,,Blood-Glucose-Depleting Hydrogel Dressing as an Activatable Photothermal/Chemodynamic Antibacterial Agent for Healing Diabetic Wounds,ACS Appl Mater Interfaces. 2023 May 24;15(20):24162-24174. doi: 10.1021/acsami.3c03786. Epub 2023 May 11.,37166230,10.1021/acsami.3c03786,,,Abstract,Rejected,No safety information,,,No error,,,,China,,,,,,,,,
5301,,,"Effects of ileocolonic delivered vitamin B(2), B(3) and C (ColoVit) or the Groningen anti-inflammatory diet on disease course and microbiome of patients with Crohn's disease (VITA-GrAID study): a protocol for a randomised and partially blinded trial",BMJ Open. 2023 Mar 14;13(3):e069654. doi: 10.1136/bmjopen-2022-069654.,36918234,10.1136/bmjopen-2022-069654,,,Full text,Rejected,No safety information,,,No error,,,,Netherlands,,,,,,,,,
5302,,,"Access to Chiral Tetrahydroquinazolines/1,3-Benzoxazines via Iridium-Catalyzed Asymmetric [4 + 2] Cycloaddition",Org Lett. 2023 May 16. doi: 10.1021/acs.orglett.3c01004. Online ahead of print.,37191318,10.1021/acs.orglett.3c01004,,,Abstract,Rejected,No safety information,,,No error,,,,China,,,,,,,,,
5303,,,The frequency and duration of side-effects associated with the use of oral metronidazole; A prospective study of VITA trial participants,Int J STD AIDS. 2023 Jul 3:9564624231179505. doi: 10.1177/09564624231179505. Online ahead of print.,37395087,10.1177/09564624231179505,,,Abstract,Valid,"Valid case_1 cluster for  gastrointestinal symptoms (nausea and/or vomiting, abdominal pain or diarrhoea) with Metronidazole",,,No error,yes,,Non-serious,United KIngdom,Metronidazole,," gastrointestinal symptoms (nausea and/or vomiting, abdominal pain or diarrhoea) ",,,,,,
5304,,,Ibuprofen dosing measurement accuracy using infants' versus children's ibuprofen: a randomized crossover comparison,Pediatr Res. 2023 Mar 20. doi: 10.1038/s41390-023-02573-7. Online ahead of print.,36941340,10.1038/s41390-023-02573-7,,,Abstract,Invalid,No MA in COI_Ibuprofen_Dosing errors,,,No error,,,,United states,,Ibuprofen,Dosing errors,,,,,,
5305,,,Rhabdomyolysis during concomitant ticagrelor and rosuvastatin: A breast cancer resistance protein-mediated drug interaction?,Br J Clin Pharmacol. 2023 Jul;89(7):2309-2315. doi: 10.1111/bcp.15684. Epub 2023 Feb 20.,36740817,10.1111/bcp.15684,,,Full Text,Invalid,No MA in COI_Rosuvastatin_Rhabdomyolysis,,,No error,,,,Finland,,Rosuvastatin,Rhabdomyolysis,,,,,,
5306,,,Statins to prevent early cardiac dysfunction in cancer patients at increased cardiotoxicity risk receiving anthracyclines,Eur Heart J Cardiovasc Pharmacother. 2023 Apr 29:pvad031. doi: 10.1093/ehjcvp/pvad031. Online ahead of print.,37120736,10.1093/ehjcvp/pvad031,,,Abstract,Invalid,No MA in COI_Atorvastatin_Adverse events NOS,,,No error,,,,Canada,,Atorvastatin,Adverse events NOS,,,,,,
5307,,,Comparative study evaluating the efficacy of topical azithromycin versus oral doxycycline in the treatment of meibomian gland dysfunction,J Pak Med Assoc. 2023 May;73(5):995-999. doi: 10.47391/JPMA.6732.,37218224,10.47391/JPMA.6732,,,Abstract,Invalid,No MA in COI_Doxycycline_Anorexia/Nausea and gastrointestinal discomfort,,,No error,,,,Pakistan,,Doxycycline,Anorexia/Nausea and gastrointestinal discomfort,,,,,,
5308,,,Evaluation of the effect of managing oxycodone/acetaminophen as a psychotropic medicine: An interrupted time-series study,Front Pharmacol. 2023 Mar 16;14:1079972. doi: 10.3389/fphar.2023.1079972. eCollection 2023.,37007018,10.3389/fphar.2023.1079972,,,Full text,Rejected,No safety information,,,No error ,,,,China,,,,,,,,,
5309,,,"Caffeine drug interactions and its clinical implication after acute coronary syndrome, a literature review",Crit Pathw Cardiol. 2023 May 9. doi: 10.1097/HPC.0000000000000322. Online ahead of print.,37216418,10.1097/HPC.0000000000000322,,,Abstract ,Invalid,No MA in COI_Caffeine drug interactions_Review article,,,No error,,,,Iran,,caffeine ,Caffeine drug interactions,,,,,,
5310,,,Parahydrogen in Reversible Exchange Induces Long-Lived (15)N Hyperpolarization of Anticancer Drugs Anastrozole and Letrozole,Anal Chem. 2023 May 23;95(20):7822-7829. doi: 10.1021/acs.analchem.2c04817. Epub 2023 May 10.,37163687,10.1021/acs.analchem.2c04817,,,Abstract ,Rejected,No safety information_invitro study,,,No error,,,,United States,,,,,,,,,
5311,,,Methadone administered to rat dams during pregnancy and lactation affects the circadian rhythms of their pups,J Neurosci Res. 2023 Aug 8. doi: 10.1002/jnr.25236. Online ahead of print.,37551165,10.1002/jnr.25236,,,Abstract,Invalid,Animal study_Methadone_DEDP,,,No error,,,,Czech Republic,,Methadone,DEDP,,,,,,
5312,,,Aqueous Rosa damascena extract: Antibacterial activity and its role of adhesion to human epithelial cells in vitro,Cell Biochem Funct. 2023 Apr;41(3):365-374. doi: 10.1002/cbf.3788. Epub 2023 Mar 14.,36918753,10.1002/cbf.3788,,,Abstract,Rejected,No safety information_In vitro study/Plant study,,,No Error,,,,Iraq,,,,,,,,,
5313,,,Short report: impact of selective reporting of antibiotic susceptibility testing on antibiotic use in patients with bloodstream infection with Enterococcus faecalis,Infection. 2023 May 23. doi: 10.1007/s15010-023-02045-4. Online ahead of print.,37217812,10.1007/s15010-023-02045-4,,,Abstract,Rejected,No safety information,,,No error ,,,,Germany,,,,,,,,,
5314,,,Antidepressant Potential of a Functionalized 3-Selanyl Benzo[b]Furan Compound in Mice: Focus on the Serotonergic System,ACS Chem Neurosci. 2023 Mar 15;14(6):1181-1192. doi: 10.1021/acschemneuro.2c00816. Epub 2023 Feb 28.,36853167,10.1021/acschemneuro.2c00816,,,Abstract,Rejected,No safety information_Animal study,,,No error,,,,Brazil,,,,,,,,,
5315,,,Poor Neonatal Adaptation After Antidepressant Exposure During the Third Trimester in a Geographically Defined Cohort,Mayo Clin Proc Innov Qual Outcomes. 2023 Mar 7;7(2):127-139. doi: 10.1016/j.mayocpiqo.2023.02.002. eCollection 2023 Apr.,36938114,10.1016/j.mayocpiqo.2023.02.002,,,Full text,Invalid,"No MA in COI_Paroxetine, sertraline_DEDP, poor neonatal adaptation, maternal anxiety",,,No error,,,,United states,,"Paroxetine, sertraline","DEDP, poor neonatal adaptation, maternal anxiety",,,,,,
5316,,,Porous biochar derived from walnut shell as an efficient adsorbent for tetracycline removal,Bioresour Technol. 2023 May 23;383:129213. doi: 10.1016/j.biortech.2023.129213. Online ahead of print.,37230330,10.1016/j.biortech.2023.129213,,,Abstract,Rejected,No safety information,,,No error ,,,,China,,,,,,,,,
5317,,,Keggin type phosphotungstic acid intercalated copper-chromium-layered double hydroxide reinforced porous hollow fiber as a sorbent for hollow fiber solid phase microextraction of selected chlorophenols besides their quantification via high performance liquid chromatography,J Chromatogr A. 2023 May 24;1697:463993. doi: 10.1016/j.chroma.2023.463993. Epub 2023 Apr 14.,37084695,10.1016/j.chroma.2023.463993,,,Abstract ,Rejected,No safety information_In Vitro study,,,No error ,,,,Iran,,,,,,,,,
